Date,Period,Dublin,Non_Dublin,GDA_excl_Dublin,Outside_GDA,Unemployment_Rate,RPPI,Year,Monthly_Income,Affordability_Dublin,Affordability_National,RPZ_Active
2018-07-01,Q3 2018,1695.740310284357,914.7328940834276,1184.480091126555,874.5101126384118,,133.29999999999998,2018,,,,1
2018-10-01,Q4 2018,1655.527032391061,898.4150035850753,1188.0388668945052,851.2993746444216,,134.23333333333332,2018,,,,1
2019-01-01,Q1 2019,1680.5471194046568,915.6480844964517,1201.1794350547643,872.7628402679295,,133.0,2019,,,,1
2019-04-01,Q2 2019,1731.7273987130511,933.2117243104655,1241.4796528264185,882.4162278041981,,133.70000000000002,2019,,,,1
2019-07-01,Q3 2019,1759.6578851360082,971.296817264989,1257.7242494135542,928.5867979229645,,135.63333333333333,2019,,,,1
2019-10-01,Q4 2019,1714.496423194735,936.9520468657223,1253.9567307689192,889.50387039628,,135.29999999999998,2019,,,,1
2020-01-01,Q1 2020,1743.8920169958812,953.9698847713136,1301.2221479519392,897.5455384549242,,134.29999999999998,2020,,,,1
2020-04-01,Q2 2020,1717.9288473211097,957.7934062553396,1271.6355882483108,905.6599081929178,,134.16666666666666,2020,,,,1
2020-07-01,Q3 2020,1779.1209726011605,1003.8843492475934,1275.4562230998574,959.7413857256371,,134.5666666666667,2020,,,,1
2020-10-01,Q4 2020,1736.9303814811058,986.9625580665975,1310.3626574471193,936.0452864820212,,136.26666666666665,2020,,,,1
2021-01-01,Q1 2021,1777.3427408925993,1019.0561182844812,1327.5085790130618,967.4501105977754,,138.36666666666667,2021,,,,1
2021-04-01,Q2 2021,1804.203836579988,1059.5844729753073,1385.8365113710238,1005.9260694036476,,141.63333333333333,2021,,,,1
2021-07-01,Q3 2021,1870.3384554519998,1108.3548786588665,1396.9676687253,1063.8650810115714,,148.79999999999998,2021,,,,1
2021-10-01,Q4 2021,1866.6015167254684,1077.7513902952894,1357.0373937272861,1030.3603334039258,,155.1,2021,,,,1
2022-01-01,Q1 2022,1894.8115860595399,1073.4489952607025,1384.4513675469934,1025.2213898020386,,159.03333333333333,2022,,,,1
2022-04-01,Q2 2022,1925.3724060349175,1091.853624284153,1370.6758462737093,1048.0261934312784,,161.86666666666667,2022,,,,1
2022-07-01,Q3 2022,1929.2270041602467,1148.9825649484521,1413.832265958723,1110.6090730762962,,166.46666666666667,2022,,,,1
2022-10-01,Q4 2022,1974.1134405481012,1133.0088856965128,1451.0739488264317,1087.5294665792183,,168.43333333333334,2022,,,,1
2023-01-01,Q1 2023,1993.953610468711,1147.834156683337,1471.531855310677,1096.2645962431993,,167.16666666666666,2023,,,,1
2023-04-01,Q2 2023,2085.7310279158455,1223.697269478928,1525.472101105449,1167.5512178980778,,166.29999999999998,2023,,,,1
2023-07-01,Q3 2023,2110.9105753817867,1285.1517755517746,1545.4327012095034,1242.2305313849104,,168.76666666666665,2023,,,,1
2023-10-01,Q4 2023,2079.4832112429685,1272.3643017274828,1581.3895722697573,1215.1998870097643,,173.70000000000002,2023,,,,1
2024-01-01,Q1 2024,2113.0225417643624,1276.1871260019593,1550.0759607199532,1221.2911017917424,,177.73333333333335,2024,,,,1
2024-04-01,Q2 2024,2166.5139620799628,1330.9285075602477,1597.2828016962294,1276.227651554637,,180.33333333333334,2024,,,,1
2024-07-01,Q3 2024,2210.2804473006536,1379.7148186237705,1654.1775499632954,1333.635376695313,,185.5,2024,,,,1
2024-10-01,Q4 2024,2168.681559660199,1348.3435305470625,1654.1775499632954,1296.811525853121,,189.96666666666667,2024,,,,1
2025-01-01,Q1 2025,2177.373658507072,1368.7211334484068,1660.8075112457675,1319.0457774589604,,191.83333333333334,2025,,,,1
2025-04-01,Q2 2025,2223.5819947221034,1411.8160080151622,1706.260163641663,1357.858164554824,,194.33333333333334,2025,,,,1
2025-07-01,Q3 2025,2307.3955171845146,1476.7988774489681,1735.5145441180173,1433.1983845981758,,199.36666666666667,2025,,,,1
